epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,14.8909,0.55008,1,1,0.03307,0.00041441,0.00041441,0.00041441
2,26.9618,0.03453,1,1,0.0017,0.000834763,0.000834763,0.000834763
3,39.508,0.01645,1,1,0.00012,0.00124663,0.00124663,0.00124663
4,50.203,0.08283,0.96429,1,0.05771,0.00138656,0.00138656,0.00138656
5,61.838,0.06048,0.98214,1,0.02993,0.00137241,0.00137241,0.00137241
6,74.8447,0.08003,1,1,0.00255,0.00135826,0.00135826,0.00135826
