epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,15.3646,0.56427,0.98182,1,0.07301,0.00041441,0.00041441,0.00041441
2,24.3512,0.05136,1,1,0.00904,0.000834763,0.000834763,0.000834763
3,35.8907,0.09365,1,1,0.00725,0.00124663,0.00124663,0.00124663
4,46.6254,0.06229,1,1,0.00393,0.00138656,0.00138656,0.00138656
5,56.2553,0.07332,0.98182,1,0.09452,0.00137241,0.00137241,0.00137241
6,67.149,0.08724,1,1,0.00843,0.00135826,0.00135826,0.00135826
7,79.5099,0.11513,1,1,0.02372,0.00134412,0.00134412,0.00134412
8,89.9311,0.08607,0.98182,1,0.02376,0.00132997,0.00132997,0.00132997
9,100.431,0.07054,1,1,0.02063,0.00131582,0.00131582,0.00131582
